1101,Sword,ソード,4,100,,500,25,,,,1,3,0,0,0,0,0,0,6371,2,2,1,2,2,0
1102,Sword_,ソード,4,100,,500,25,,,,1,4,0,0,0,0,0,0,6371,2,2,1,2,2,0
1103,Sword__,ソード,4,100,,500,25,,,,1,0,0,0,0,0,0,0,6371,2,2,1,2,2,0
1104,Falchion,ファルシオン,4,1500,,600,39,,,,1,3,0,0,0,0,0,0,6371,2,2,1,2,2,0
1105,Falchion_,ファルシオン,4,1500,,600,39,,,,1,4,0,0,0,0,0,0,6371,2,2,1,2,2,0
1106,Falchion__,ファルシオン,4,1500,,600,39,,,,1,0,0,0,0,0,0,0,6371,2,2,1,2,2,0
1107,Blade,ブレイド,4,2900,,700,53,,,,1,3,0,0,0,0,0,0,6371,2,2,1,2,2,0
1108,Blade_,ブレイド,4,2900,,700,53,,,,1,4,0,0,0,0,0,0,6371,2,2,1,2,2,0
1109,Blade__,ブレイド,4,2900,,700,53,,,,1,0,0,0,0,0,0,0,6371,2,2,1,2,2,0
1110,Lapier,レイピア,4,10000,,500,70,,,,1,2,0,0,0,0,0,0,6371,2,2,2,14,2,0
1111,Lapier_,レイピア,4,10000,,500,70,,,,1,3,0,0,0,0,0,0,6371,2,2,2,14,2,0
1112,Lapier__,レイピア,4,10000,,500,70,,,,1,0,0,0,0,0,0,0,6371,2,2,2,14,2,0
1113,Scimiter,シミター,4,17000,,700,85,,,,1,2,0,0,0,0,0,0,6371,2,2,2,14,2,0
1114,Scimiter_,シミター,4,17000,,700,85,,,,1,3,0,0,0,0,0,0,6371,2,2,2,14,2,0
1115,Scimiter__,シミター,4,17000,,700,85,,,,1,3,0,0,0,0,0,0,6371,2,2,2,14,2,0
1116,Katana,カタナ,4,2000,,1000,60,,,,1,3,0,0,0,0,0,0,130,2,34,1,4,3,0
1117,Katana_,カタナ,4,2000,,1000,60,,,,1,4,0,0,0,0,0,0,130,2,34,1,4,3,0
1118,Katana__,カタナ,4,2000,,1000,60,,,,1,0,0,0,0,0,0,0,130,2,34,1,4,3,0
1119,Tsurugi,ツルギ,4,51000,,1200,130,,,,1,1,0,0,0,0,0,0,6371,2,2,3,27,2,0
1120,Tsurugi_,ツルギ,4,51000,,1200,130,,,,1,2,0,0,0,0,0,0,6371,2,2,3,27,2,0
1121,Tsurugi__,ツルギ,4,51000,,1200,130,,,,1,0,0,0,0,0,0,0,6371,2,2,3,27,2,0
1122,Ring_pommel_Saber,環頭太刀,4,24000,,900,100,,,,1,2,0,0,0,0,0,0,6371,2,2,2,14,2,0
1123,Haedonggum,海東剣,4,50000,,900,120,,,,1,1,0,0,0,3,0,0,6371,2,2,3,27,2,0
1124,Orcish_sword,オーキッシュソード,4,20,,800,90,,,,1,0,0,0,0,0,0,0,6371,2,2,4,40,2,0
